,0,1
527,(주)금양,NNG
528,(주)갤럭시아에스엠,NNG
529,(주)MH에탄올,NNG
530,(주)SH에너지화학,NNG
531,(주)SIMPAC,NNG
532,(주)SNT에너지,NNG
533,(주)SNT홀딩스 ,NNG
534,(주)STX,NNG
535,(주)TCC스틸,NNG
536,(주)강원랜드,NNG
537,(주)경농,NNG
538,(주)국보,NNG
539,(주)경동나비엔,NNG
540,(주)경동인베스트,NNG
541,(주)경방,NNG
542,(주)경보제약,NNG
543,(주)경인양행,NNG
544,(주)광명전기,NNG
545,(주)광주신세계,NNG
546,(주)국동,NNG
547,(주)대웅제약,NNG
548,(주)대유에이텍,NNG
549,(주)대유플러스,NNG
550,(주)모토닉,NNG
551,(주)디아이씨,NNG
552,(주)디알비동일,NNG
553,(주)디엔오토모티브,NNG
554,(주)락앤락,NNG
555,(주)마니커,NNG
556,(주)메타랩스,NNG
557,(주)모나리자,NNG
558,(주)모나미,NNG
559,(주)무학,NNG
560,(주)디비아이엔씨,NNG
561,(주)미래아이앤지,NNG
562,(주)백산,NNG
563,(주)벽산,NNG
564,(주)보락,NNG
565,(주)보령,NNG
566,(주)비비안,NNG
567,(주)비상교육,NNG
568,(주)비에이치,NNG
569,(주)디아이,NNG
570,(주)드림텍,NNG
571,(주)대창,NNG
572,(주)동남합성,NNG
573,(주)대한항공,NNG
574,(주)대현,NNG
575,(주)대호에이엘,NNG
576,(주)더메디팜,NNG
577,(주)더존비즈온,NNG
578,(주)덕성,NNG
579,(주)덴티움,NNG
580,(주)도화엔지니어링,NNG
581,(주)동방,NNG
582,(주)두올,NNG
583,(주)동방아그로,NNG
584,(주)동서,NNG
585,(주)동성케미컬,NNG
586,(주)동아지질,NNG
587,(주)동양,NNG
588,(주)동양고속,NNG
589,(주)동원에프앤비,NNG
590,(주)두산,NNG
591,(주)와이투솔루션,NNG
592,흥아해운(주),NNG
593,(주)우성,NNG
594,(주)티비에이치글로벌,NNG
595,(주)큐로,NNG
596,(주)크라운해태홀딩스,NNG
597,(주)크래프톤,NNG
598,(주)키다리스튜디오,NNG
599,(주)태경비케이,NNG
600,(주)태영건설,NNG
601,(주)테이팩스,NNG
602,(주)토니모리,NNG
603,(주)티에이치엔,NNG
604,(주)플레이그램,NNG
605,(주)티웨이항공,NNG
606,(주)티웨이홀딩스,NNG
607,(주)팜스코,NNG
608,(주)퍼시스,NNG
609,(주)포스코인터내셔널,NNG
610,(주)포스코퓨처엠,NNG
611,(주)풀무원,NNG
612,(주)풍산,NNG
613,(주)콤텍시스템,NNG
614,(주)우신시스템,NNG
615,(주)코오롱,NNG
616,(주)코아스,NNG
617,(주)진에어,NNG
618,(주)천일고속,NNG
619,(주)청호ICT,NNG
620,(주)카카오,NNG
621,(주)카프로,NNG
622,(주)케이씨,NNG
623,(주)케이씨씨,NNG
